,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
168,new york,2021-09-08 00,22.9,22.9,18.3,75.31,0.0,0,,0.0,0.0,,7.6,220.0,1013.7,2.1,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
169,new york,2021-09-08 01,22.9,22.9,17.8,73.16,0.0,0,,0.0,0.0,,7.3,262.0,1013.5,0.8,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
170,new york,2021-09-08 02,23.3,23.3,17.8,70.95,0.0,0,,0.0,0.0,,14.4,257.0,1013.3,92.8,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
171,new york,2021-09-08 03,22.9,22.9,17.8,72.92,0.0,0,,0.0,0.0,37.1,12.5,262.0,1013.0,48.4,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
172,new york,2021-09-08 04,22.2,22.2,17.8,75.9,0.0,0,,0.0,0.0,,12.7,239.0,1012.6,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
173,new york,2021-09-08 05,22.2,22.2,17.1,73.12,0.0,0,,0.0,0.0,,12.8,248.0,1012.5,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
174,new york,2021-09-08 06,22.2,22.2,17.1,73.12,0.0,0,,0.0,0.0,,9.4,230.0,1012.6,0.4,16.0,7.6,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
175,new york,2021-09-08 07,21.7,21.7,17.8,78.38,0.0,0,,0.0,0.0,,11.0,239.0,1012.9,0.4,16.0,14.0,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
176,new york,2021-09-08 08,22.2,22.2,18.8,80.87,0.0,0,,0.0,0.0,,12.3,243.0,1013.0,0.4,16.0,31.0,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
177,new york,2021-09-08 09,23.8,23.8,19.3,75.71,0.0,0,,0.0,0.0,,16.5,219.0,1012.7,0.4,16.0,218.0,0.8,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
178,new york,2021-09-08 10,25.6,25.6,19.9,70.84,0.0,0,,0.0,0.0,31.7,15.9,223.0,1012.5,80.3,16.0,414.0,1.5,4,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
179,new york,2021-09-08 11,26.1,26.1,20.0,68.87,0.0,0,,0.0,0.0,72.9,12.5,219.0,1012.6,99.6,16.0,353.0,1.3,4,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
180,new york,2021-09-08 12,27.2,28.7,20.0,64.83,0.0,0,,0.0,0.0,,11.1,180.0,1011.7,83.2,16.0,523.0,1.9,5,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
181,new york,2021-09-08 13,27.8,29.4,20.0,62.52,0.0,0,,0.0,0.0,,13.2,188.0,1011.1,86.8,16.0,611.0,2.2,6,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
